TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,DEADLINE,4,1,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Songs,4,1,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Choose songs,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Send songs to musicians,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Reading,4,1,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,check reading,4,3,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,find a reader,4,3,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Prayers,4,1,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Write prayers / Find someone to pray,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Children's Talk,4,1,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,choose passage for children's talk,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,prep passage,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,write talk outline,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,create slide deck,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,find props (if appropriate),4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Communion [If Appropriate],4,1,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,find servers x4,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,choose communion reading,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,write communion prayer or find liturgy,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
