TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Prep Sermon,4,1,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Make notes on passage,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Write change statement,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Read Commentary 1,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Read commentary 2,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Read commentary 3,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Read relavent secondary books,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Plan out the sermon,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Write Sermon,4,1,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Write Sermon outline,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Think of opening illustration,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Write Section 0: introduction,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Write section 1,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Write section 2,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Write section 3,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Write Section 4: conclusion,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,First draft,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Proof read,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Final version,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Other Tasks,4,1,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Make slide deck,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Send outline to Marty,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
task,Send final song to Musicians,4,2,Liam (5138368),,,en,Europe/London
,,,,,,,,
